2021-07-20 22:48:50: Simulating:
	fields : ['c']
	num_elem : 100
	N : 1000
	dt : 0.01
	D : 0.001
	alpha : 1
	tol : 1e-05
2021-07-20 22:49:00: Time: 199
2021-07-20 22:49:00: Time: 200
2021-07-20 22:49:00: Time: 201
2021-07-20 22:49:00: Time: 202
2021-07-20 22:49:00: Time: 203
2021-07-20 22:49:00: Time: 204
2021-07-20 22:49:00: Time: 205
2021-07-20 22:49:00: Time: 206
2021-07-20 22:49:00: Time: 207
2021-07-20 22:49:00: Time: 208
2021-07-20 22:49:00: Time: 209
2021-07-20 22:49:00: Time: 210
2021-07-20 22:49:00: Time: 211
2021-07-20 22:49:00: Time: 212
2021-07-20 22:49:00: Time: 213
2021-07-20 22:49:00: Time: 214
2021-07-20 22:49:00: Time: 215
2021-07-20 22:49:00: Time: 216
2021-07-20 22:49:00: Time: 217
2021-07-20 22:49:00: Time: 218
2021-07-20 22:49:00: Time: 219
2021-07-20 22:49:00: Time: 220
2021-07-20 22:49:00: Time: 221
2021-07-20 22:49:01: Time: 222
2021-07-20 22:49:01: Time: 223
2021-07-20 22:49:01: Time: 224
2021-07-20 22:49:01: Time: 225
2021-07-20 22:49:01: Time: 226
2021-07-20 22:49:01: Time: 227
2021-07-20 22:49:01: Time: 228
2021-07-20 22:49:01: Time: 229
2021-07-20 22:49:01: Time: 230
2021-07-20 22:49:01: Time: 231
2021-07-20 22:49:01: Time: 232
2021-07-20 22:49:01: Time: 233
2021-07-20 22:49:01: Time: 234
2021-07-20 22:49:01: Time: 235
2021-07-20 22:49:01: Time: 236
2021-07-20 22:49:01: Time: 237
2021-07-20 22:49:01: Time: 238
2021-07-20 22:49:01: Time: 239
2021-07-20 22:49:01: Time: 240
2021-07-20 22:49:01: Time: 241
2021-07-20 22:49:01: Time: 242
2021-07-20 22:49:01: Time: 243
2021-07-20 22:49:01: Time: 244
2021-07-20 22:49:01: Time: 245
2021-07-20 22:49:02: Time: 246
2021-07-20 22:49:02: Time: 247
2021-07-20 22:49:02: Time: 248
2021-07-20 22:49:02: Time: 249
2021-07-20 22:49:02: Time: 250
2021-07-20 22:49:02: Time: 251
2021-07-20 22:49:02: Time: 252
2021-07-20 22:49:02: Time: 253
2021-07-20 22:49:02: Time: 254
2021-07-20 22:49:02: Time: 255
2021-07-20 22:49:02: Time: 256
2021-07-20 22:49:02: Time: 257
2021-07-20 22:49:02: Time: 258
2021-07-20 22:49:02: Time: 259
2021-07-20 22:49:02: Time: 260
2021-07-20 22:49:02: Time: 261
2021-07-20 22:49:02: Time: 262
2021-07-20 22:49:02: Time: 263
2021-07-20 22:49:02: Time: 264
2021-07-20 22:49:02: Time: 265
2021-07-20 22:49:02: Time: 266
2021-07-20 22:49:02: Time: 267
2021-07-20 22:49:02: Time: 268
2021-07-20 22:49:02: Time: 269
2021-07-20 22:49:03: Time: 270
2021-07-20 22:49:03: Time: 271
2021-07-20 22:49:03: Time: 272
2021-07-20 22:49:03: Time: 273
2021-07-20 22:49:03: Time: 274
2021-07-20 22:49:03: Time: 275
2021-07-20 22:49:03: Time: 276
2021-07-20 22:49:03: Time: 277
2021-07-20 22:49:03: Time: 278
2021-07-20 22:49:03: Time: 279
2021-07-20 22:49:03: Time: 280
2021-07-20 22:49:03: Time: 281
2021-07-20 22:49:03: Time: 282
2021-07-20 22:49:03: Time: 283
2021-07-20 22:49:03: Time: 284
2021-07-20 22:49:03: Time: 285
2021-07-20 22:49:03: Time: 286
2021-07-20 22:49:03: Time: 287
2021-07-20 22:49:03: Time: 288
2021-07-20 22:49:03: Time: 289
2021-07-20 22:49:03: Time: 290
2021-07-20 22:49:03: Time: 291
2021-07-20 22:49:03: Time: 292
2021-07-20 22:49:04: Time: 293
2021-07-20 22:49:04: Time: 294
2021-07-20 22:49:04: Time: 295
2021-07-20 22:49:04: Time: 296
2021-07-20 22:49:04: Time: 297
2021-07-20 22:49:04: Time: 298
2021-07-20 22:49:04: Time: 299
2021-07-20 22:49:04: Time: 300
2021-07-20 22:49:04: Time: 301
2021-07-20 22:49:04: Time: 302
2021-07-20 22:49:04: Time: 303
2021-07-20 22:49:04: Time: 304
2021-07-20 22:49:04: Time: 305
2021-07-20 22:49:04: Time: 306
2021-07-20 22:49:04: Time: 307
2021-07-20 22:49:04: Time: 308
2021-07-20 22:49:04: Time: 309
2021-07-20 22:49:04: Time: 310
2021-07-20 22:49:04: Time: 311
2021-07-20 22:49:04: Time: 312
2021-07-20 22:49:04: Time: 313
2021-07-20 22:49:04: Time: 314
2021-07-20 22:49:04: Time: 315
2021-07-20 22:49:05: Time: 316
2021-07-20 22:49:05: Time: 317
2021-07-20 22:49:05: Time: 318
2021-07-20 22:49:05: Time: 319
2021-07-20 22:49:05: Time: 320
2021-07-20 22:49:05: Time: 321
2021-07-20 22:49:05: Time: 322
2021-07-20 22:49:05: Time: 323
2021-07-20 22:49:05: Time: 324
2021-07-20 22:49:05: Time: 325
2021-07-20 22:49:05: Time: 326
2021-07-20 22:49:05: Time: 327
2021-07-20 22:49:05: Time: 328
2021-07-20 22:49:05: Time: 329
2021-07-20 22:49:05: Time: 330
2021-07-20 22:49:05: Time: 331
2021-07-20 22:49:05: Time: 332
2021-07-20 22:49:05: Time: 333
2021-07-20 22:49:05: Time: 334
2021-07-20 22:49:05: Time: 335
2021-07-20 22:49:05: Time: 336
2021-07-20 22:49:05: Time: 337
2021-07-20 22:49:05: Time: 338
2021-07-20 22:49:06: Time: 339
2021-07-20 22:49:06: Time: 340
2021-07-20 22:49:06: Time: 341
2021-07-20 22:49:06: Time: 342
2021-07-20 22:49:06: Time: 343
2021-07-20 22:49:06: Time: 344
2021-07-20 22:49:06: Time: 345
2021-07-20 22:49:06: Time: 346
2021-07-20 22:49:06: Time: 347
2021-07-20 22:49:06: Time: 348
2021-07-20 22:49:06: Time: 349
2021-07-20 22:49:06: Time: 350
2021-07-20 22:49:06: Time: 351
2021-07-20 22:49:06: Time: 352
2021-07-20 22:49:06: Time: 353
2021-07-20 22:49:06: Time: 354
2021-07-20 22:49:06: Time: 355
2021-07-20 22:49:06: Time: 356
2021-07-20 22:49:06: Time: 357
2021-07-20 22:49:06: Time: 358
2021-07-20 22:49:06: Time: 359
2021-07-20 22:49:06: Time: 360
2021-07-20 22:49:07: Time: 361
2021-07-20 22:49:07: Time: 362
2021-07-20 22:49:07: Time: 363
2021-07-20 22:49:07: Time: 364
2021-07-20 22:49:07: Time: 365
2021-07-20 22:49:07: Time: 366
2021-07-20 22:49:07: Time: 367
2021-07-20 22:49:07: Time: 368
2021-07-20 22:49:07: Time: 369
2021-07-20 22:49:07: Time: 370
2021-07-20 22:49:07: Time: 371
2021-07-20 22:49:07: Time: 372
2021-07-20 22:49:07: Time: 373
2021-07-20 22:49:07: Time: 374
2021-07-20 22:49:07: Time: 375
2021-07-20 22:49:07: Time: 376
2021-07-20 22:49:07: Time: 377
2021-07-20 22:49:07: Time: 378
2021-07-20 22:49:07: Time: 379
2021-07-20 22:49:07: Time: 380
2021-07-20 22:49:07: Time: 381
2021-07-20 22:49:08: Time: 382
2021-07-20 22:49:08: Time: 383
2021-07-20 22:49:08: Time: 384
2021-07-20 22:49:08: Time: 385
2021-07-20 22:49:08: Time: 386
2021-07-20 22:49:08: Time: 387
2021-07-20 22:49:08: Time: 388
2021-07-20 22:49:08: Time: 389
2021-07-20 22:49:08: Time: 390
2021-07-20 22:49:08: Time: 391
2021-07-20 22:49:08: Time: 392
2021-07-20 22:49:08: Time: 393
2021-07-20 22:49:08: Time: 394
2021-07-20 22:49:08: Time: 395
2021-07-20 22:49:08: Time: 396
2021-07-20 22:49:08: Time: 397
2021-07-20 22:49:08: Time: 398
2021-07-20 22:49:08: Time: 399
2021-07-20 22:49:08: Time: 400
2021-07-20 22:49:08: Time: 401
2021-07-20 22:49:08: Time: 402
2021-07-20 22:49:09: Time: 403
2021-07-20 22:49:09: Time: 404
2021-07-20 22:49:09: Time: 405
2021-07-20 22:49:09: Time: 406
2021-07-20 22:49:09: Time: 407
2021-07-20 22:49:09: Time: 408
2021-07-20 22:49:09: Time: 409
2021-07-20 22:49:09: Time: 410
2021-07-20 22:49:09: Time: 411
2021-07-20 22:49:09: Time: 412
2021-07-20 22:49:09: Time: 413
2021-07-20 22:49:09: Time: 414
2021-07-20 22:49:09: Time: 415
2021-07-20 22:49:09: Time: 416
2021-07-20 22:49:09: Time: 417
2021-07-20 22:49:09: Time: 418
2021-07-20 22:49:09: Time: 419
2021-07-20 22:49:09: Time: 420
2021-07-20 22:49:09: Time: 421
2021-07-20 22:49:09: Time: 422
2021-07-20 22:49:09: Time: 423
2021-07-20 22:49:10: Time: 424
2021-07-20 22:49:10: Time: 425
2021-07-20 22:49:10: Time: 426
2021-07-20 22:49:10: Time: 427
2021-07-20 22:49:10: Time: 428
2021-07-20 22:49:10: Time: 429
2021-07-20 22:49:10: Time: 430
2021-07-20 22:49:10: Time: 431
2021-07-20 22:49:10: Time: 432
2021-07-20 22:49:10: Time: 433
2021-07-20 22:49:10: Time: 434
2021-07-20 22:49:10: Time: 435
2021-07-20 22:49:10: Time: 436
2021-07-20 22:49:10: Time: 437
2021-07-20 22:49:10: Time: 438
2021-07-20 22:49:10: Time: 439
2021-07-20 22:49:10: Time: 440
2021-07-20 22:49:10: Time: 441
2021-07-20 22:49:10: Time: 442
2021-07-20 22:49:10: Time: 443
2021-07-20 22:49:10: Time: 444
2021-07-20 22:49:11: Time: 445
2021-07-20 22:49:11: Time: 446
2021-07-20 22:49:11: Time: 447
2021-07-20 22:49:11: Time: 448
2021-07-20 22:49:11: Time: 449
2021-07-20 22:49:11: Time: 450
2021-07-20 22:49:11: Time: 451
2021-07-20 22:49:11: Time: 452
2021-07-20 22:49:11: Time: 453
2021-07-20 22:49:11: Time: 454
2021-07-20 22:49:11: Time: 455
2021-07-20 22:49:11: Time: 456
2021-07-20 22:49:11: Time: 457
2021-07-20 22:49:11: Time: 458
2021-07-20 22:49:11: Time: 459
2021-07-20 22:49:11: Time: 460
2021-07-20 22:49:11: Time: 461
2021-07-20 22:49:11: Time: 462
2021-07-20 22:49:11: Time: 463
2021-07-20 22:49:11: Time: 464
2021-07-20 22:49:12: Time: 465
2021-07-20 22:49:12: Time: 466
2021-07-20 22:49:12: Time: 467
2021-07-20 22:49:12: Time: 468
2021-07-20 22:49:12: Time: 469
2021-07-20 22:49:12: Time: 470
2021-07-20 22:49:12: Time: 471
2021-07-20 22:49:12: Time: 472
2021-07-20 22:49:12: Time: 473
2021-07-20 22:49:12: Time: 474
2021-07-20 22:49:12: Time: 475
2021-07-20 22:49:12: Time: 476
2021-07-20 22:49:12: Time: 477
2021-07-20 22:49:12: Time: 478
2021-07-20 22:49:12: Time: 479
2021-07-20 22:49:12: Time: 480
2021-07-20 22:49:12: Time: 481
2021-07-20 22:49:12: Time: 482
2021-07-20 22:49:12: Time: 483
2021-07-20 22:49:12: Time: 484
2021-07-20 22:49:13: Time: 485
2021-07-20 22:49:13: Time: 486
2021-07-20 22:49:13: Time: 487
2021-07-20 22:49:13: Time: 488
2021-07-20 22:49:13: Time: 489
2021-07-20 22:49:13: Time: 490
2021-07-20 22:49:13: Time: 491
2021-07-20 22:49:13: Time: 492
2021-07-20 22:49:13: Time: 493
2021-07-20 22:49:13: Time: 494
2021-07-20 22:49:13: Time: 495
2021-07-20 22:49:13: Time: 496
2021-07-20 22:49:13: Time: 497
2021-07-20 22:49:13: Time: 498
2021-07-20 22:49:13: Time: 499
2021-07-20 22:49:13: Time: 500
2021-07-20 22:49:13: Time: 501
2021-07-20 22:49:13: Time: 502
2021-07-20 22:49:13: Time: 503
2021-07-20 22:49:13: Time: 504
2021-07-20 22:49:13: Time: 505
2021-07-20 22:49:14: Time: 506
2021-07-20 22:49:14: Time: 507
2021-07-20 22:49:14: Time: 508
2021-07-20 22:49:14: Time: 509
2021-07-20 22:49:14: Time: 510
2021-07-20 22:49:14: Time: 511
2021-07-20 22:49:14: Time: 512
2021-07-20 22:49:14: Time: 513
2021-07-20 22:49:14: Time: 514
2021-07-20 22:49:14: Time: 515
2021-07-20 22:49:14: Time: 516
2021-07-20 22:49:14: Time: 517
2021-07-20 22:49:14: Time: 518
2021-07-20 22:49:14: Time: 519
2021-07-20 22:49:14: Time: 520
2021-07-20 22:49:14: Time: 521
2021-07-20 22:49:14: Time: 522
2021-07-20 22:49:14: Time: 523
2021-07-20 22:49:14: Time: 524
2021-07-20 22:49:15: Time: 525
2021-07-20 22:49:15: Time: 526
2021-07-20 22:49:15: Time: 527
2021-07-20 22:49:15: Time: 528
2021-07-20 22:49:15: Time: 529
2021-07-20 22:49:15: Time: 530
2021-07-20 22:49:15: Time: 531
2021-07-20 22:49:15: Time: 532
2021-07-20 22:49:15: Time: 533
2021-07-20 22:49:15: Time: 534
2021-07-20 22:49:15: Time: 535
2021-07-20 22:49:15: Time: 536
2021-07-20 22:49:15: Time: 537
2021-07-20 22:49:15: Time: 538
2021-07-20 22:49:15: Time: 539
2021-07-20 22:49:15: Time: 540
2021-07-20 22:49:15: Time: 541
2021-07-20 22:49:15: Time: 542
2021-07-20 22:49:15: Time: 543
2021-07-20 22:49:15: Time: 544
2021-07-20 22:49:16: Time: 545
2021-07-20 22:49:16: Time: 546
2021-07-20 22:49:16: Time: 547
2021-07-20 22:49:16: Time: 548
2021-07-20 22:49:16: Time: 549
2021-07-20 22:49:16: Time: 550
2021-07-20 22:49:16: Time: 551
2021-07-20 22:49:16: Time: 552
